county,month,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
St. Lawrence,8/1/2020,14,15255,0.000917732,0.014545455
St. Lawrence,9/1/2020,55,18360,0.002995643,0.012121212
St. Lawrence,10/1/2020,93,26464,0.003514208,0.009456265
St. Lawrence,11/1/2020,145,14660,0.009890859,0.008802817
Steuben,3/1/2020,38,284,0.133802817,0
Steuben,4/1/2020,178,1795,0.099164345,0.087962963
Steuben,5/1/2020,25,3623,0.006900359,0.112033195
Steuben,6/1/2020,27,6943,0.003888809,0.108208955
Steuben,7/1/2020,22,7369,0.00298548,0.1
Steuben,8/1/2020,25,8284,0.003017866,0.123809524
Steuben,9/1/2020,149,8845,0.016845676,0.092672414
Steuben,10/1/2020,623,16087,0.038726922,0.064397424
Steuben,11/1/2020,329,11245,0.029257448,0.050847458
Suffolk,3/1/2020,7605,19305,0.393939394,0.006969099
Suffolk,4/1/2020,26432,74263,0.355924215,0.034580016
Suffolk,5/1/2020,5668,92760,0.061103924,0.047324015
Suffolk,6/1/2020,1722,140429,0.012262424,0.047819055
Suffolk,7/1/2020,1873,153584,0.012195281,0.046120092
Suffolk,8/1/2020,1585,181553,0.008730233,0.044602874
Suffolk,9/1/2020,1678,170901,0.00981855,0.043274703
Suffolk,10/1/2020,2975,264479,0.01124853,0.040776777
Suffolk,11/1/2020,3770,139557,0.027014052,0.037949276
Sullivan,3/1/2020,121,761,0.159001314,0.016528926
Sullivan,4/1/2020,759,3104,0.244523196,0.017045455
Sullivan,5/1/2020,509,4396,0.115787079,0.022318215
Sullivan,6/1/2020,63,5416,0.011632201,0.024104683
Sullivan,7/1/2020,31,5016,0.006180223,0.024949427
Sullivan,8/1/2020,47,4887,0.009617352,0.024183007
Sullivan,9/1/2020,77,6412,0.012008734,0.023024269
Sullivan,10/1/2020,211,8705,0.024238943,0.020352035
